               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.022422,           0.0051586,                   0,             0.99137,             0.99626,             0.99201,             0.74355,            0.017872,           0.0047516,                   0,            0.008218,            0.008218,            0.008218
                  38,            0.022247,           0.0051494,                   0,             0.98795,             0.99766,             0.99067,             0.74045,            0.018167,           0.0047156,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,            0.021839,            0.005106,                   0,             0.98867,             0.99166,             0.99065,             0.72448,             0.01877,           0.0048435,                   0,            0.008119,            0.008119,            0.008119
                  40,            0.021932,           0.0050937,                   0,             0.98931,             0.98966,             0.99178,             0.73409,             0.01843,           0.0048178,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,            0.022023,           0.0050597,                   0,             0.98979,             0.99499,             0.99172,             0.74211,            0.018041,           0.0047462,                   0,             0.00802,             0.00802,             0.00802
                  42,            0.021613,           0.0049963,                   0,             0.99228,             0.99633,             0.99282,             0.75085,             0.01767,           0.0046913,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,            0.021921,           0.0051591,                   0,             0.98931,             0.99533,             0.99224,             0.73513,            0.018843,           0.0048185,                   0,            0.007921,            0.007921,            0.007921
                  44,            0.021774,           0.0049154,                   0,             0.99246,             0.99633,              0.9932,             0.75511,            0.017232,            0.004611,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,            0.021533,           0.0050192,                   0,             0.98903,             0.99533,               0.992,             0.74542,             0.01772,           0.0047084,                   0,            0.007822,            0.007822,            0.007822
                  46,            0.021674,            0.005114,                   0,             0.99104,             0.99678,             0.99272,             0.75722,            0.017374,           0.0046012,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,            0.021225,           0.0049584,                   0,             0.99301,             0.99596,             0.99256,             0.75554,            0.017719,           0.0046228,                   0,            0.007723,            0.007723,            0.007723
                  48,            0.021452,           0.0048891,                   0,             0.99048,               0.997,             0.99258,             0.76638,            0.016983,           0.0045434,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,            0.021174,            0.004934,                   0,             0.99136,             0.99586,             0.99269,             0.76492,            0.017064,           0.0045785,                   0,            0.007624,            0.007624,            0.007624
                  50,            0.021221,           0.0049135,                   0,             0.99004,             0.99666,             0.99286,             0.76565,            0.017012,           0.0045601,                   0,           0.0075745,           0.0075745,           0.0075745
                  51,            0.021863,            0.004929,                   0,             0.99302,             0.99664,             0.99297,             0.76046,            0.017191,           0.0045486,                   0,            0.007525,            0.007525,            0.007525
                  52,            0.021074,           0.0049704,                   0,             0.99239,             0.99733,             0.99245,             0.76072,             0.01718,           0.0045419,                   0,           0.0074755,           0.0074755,           0.0074755
                  53,            0.020774,           0.0048944,                   0,             0.98927,             0.99867,             0.99273,             0.76177,            0.017401,           0.0046179,                   0,            0.007426,            0.007426,            0.007426
                  54,            0.020993,           0.0049335,                   0,             0.99019,               0.997,             0.99236,             0.76191,            0.017172,           0.0045837,                   0,           0.0073765,           0.0073765,           0.0073765
                  55,            0.021095,           0.0049218,                   0,             0.99303,             0.99796,             0.99283,             0.76408,            0.017163,           0.0045704,                   0,            0.007327,            0.007327,            0.007327
                  56,            0.020998,           0.0049906,                   0,             0.99204,             0.99824,              0.9928,             0.76494,            0.017114,            0.004576,                   0,           0.0072775,           0.0072775,           0.0072775
                  57,            0.020995,           0.0047913,                   0,             0.99295,               0.998,             0.99293,             0.77626,            0.016543,            0.004482,                   0,            0.007228,            0.007228,            0.007228
                  58,            0.021063,           0.0048786,                   0,             0.98993,             0.99299,             0.99146,             0.73859,            0.018722,           0.0047428,                   0,           0.0071785,           0.0071785,           0.0071785
                  59,             0.02086,           0.0048012,                   0,             0.99009,               0.996,             0.99278,              0.7612,            0.017058,           0.0045536,                   0,            0.007129,            0.007129,            0.007129
                  60,            0.020575,           0.0048631,                   0,             0.99238,             0.99733,             0.99281,             0.77969,            0.016456,           0.0044425,                   0,           0.0070795,           0.0070795,           0.0070795
                  61,            0.021039,           0.0048847,                   0,             0.99241,             0.99666,             0.99239,             0.77671,            0.016594,           0.0044493,                   0,             0.00703,             0.00703,             0.00703
                  62,            0.020529,           0.0048991,                   0,             0.99068,             0.99278,              0.9912,             0.74113,            0.017491,           0.0046757,                   0,           0.0069805,           0.0069805,           0.0069805
                  63,            0.020539,            0.004771,                   0,             0.98906,             0.99566,             0.99262,              0.7638,            0.016981,           0.0045394,                   0,            0.006931,            0.006931,            0.006931
                  64,            0.020719,           0.0048402,                   0,             0.99236,             0.99727,             0.99284,             0.78016,            0.016291,           0.0044272,                   0,           0.0068815,           0.0068815,           0.0068815
                  65,            0.020561,           0.0048627,                   0,             0.99085,             0.99766,             0.99216,             0.77814,            0.016318,            0.004435,                   0,            0.006832,            0.006832,            0.006832
